Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-65067.1,-23218.1,-50320.85,19674.0,0.45,10.0,1177,15316,4039586.06,13677,-4089906.91,57645,14307,141.69,117.68,135.83,53.0,sweep,loss>70%win
EURUSD.c,-66267.85,-7907.03,14786.74,21720.0,2.14,30.0,547,2815,808464.73,3385,-793677.99,12407,2274,405.59,505.19,506.04,45.0,sweep,loss>70%win
NAS100.c,-9195.4,-3794.52,13337.36,22457.68,0.43,8.0,319,2006,727160.4400000001,2352,-713823.08,8633,1317,264.24,179.83,205.36,46.0,sweep,loss>70%win
GBPUSD.c,-23666.05,-1159.02,-26585.95,8584.0,1.72,30.0,375,1207,335963.67,1565,-362549.62,5513,971,373.72,514.86,384.2,44.0,sweep,loss>70%win
USDJPY.c,-32855.7,-1735.8,26754.01,28209.81,2.69,30.0,360,1035,507096.81,1411,-480342.8,4886,1040,456.16,240.47,373.47,42.0,sweep,loss>70%win
US30.c,-4785.2,-362.32,24465.57,11924.0,0.42,4.64,204,1207,294856.99,1066,-270391.42,4527,735,181.19,106.65,369.29,53.0,sweep,loss>70%win
GER30.c,-8411.45,-1105.97,72132.91,17989.34,1.06,10.0,133,817,510334.61,798,-438201.7,3174,368,204.57,179.81,192.53,51.0,,loss>70%win
BTCUSD,-835.6,-3506.7000000000003,-7668.91,16460.37,0.19,3.0,119,381,54702.409999999996,523,-62371.32,1799,272,503.41,402.81,469.29,42.0,sweep,loss>70%win
AUDUSD.c,-9321.3,-752.22,-21431.36,3893.0,2.2,30.0,170,381,75055.39,451,-96486.75,1691,324,1333.39,989.03,2017.91,46.0,sweep,loss>70%win
GBPJPY.c,-6310.05,48.86999999999999,-45879.62,4645.44,1.49,19.02,180,382,91425.74,464,-137305.36,1690,226,857.86,210.58,399.97,45.0,,loss>70%win
USDCAD.c,-3629.0,-6.039999999999998,-8055.39,1697.71,1.17,30.0,156,242,15368.7,380,-23424.09,1245,210,604.47,662.74,870.23,39.0,sweep,loss>70%win
SPX500.c,-1044.3,-955.43,-25208.45,2471.7,0.34,5.8,94,356,45600.2,262,-70808.65,1221,150,783.91,864.95,1426.45,58.0,,loss>70%win
USDCHF.c,-4063.25,468.33,21567.1,7504.71,1.37,16.52,139,262,66284.54,327,-44717.44,1182,318,897.52,952.05,939.48,44.0,sweep,meets_all
EURJPY.c,-3524.1,-491.92,-2958.4,2855.98,1.51,16.86,89,181,45135.3,293,-48093.7,933,257,389.74,540.8,365.99,38.0,sweep,loss>70%win
WTI.c,-965.35,-212.56,16408.73,4023.0,0.58,7.54,49,165,44121.75,171,-27713.02,662,143,438.19,316.4,216.79,49.0,sweep,meets_all
NZDUSD.c,-1273.4,-167.34,-6710.44,863.2,0.83,9.5,92,107,6457.16,199,-13167.6,611,69,1012.91,1079.54,167.29,35.0,,loss>70%win
XAGUSD.c,-359.5,-47.03,-17341.95,2590.55,0.27,2.7,60,134,11674.95,130,-29016.9,524,59,462.31,380.36,825.87,51.0,,loss>70%win
JP225.c,-176.4,-28.32,-2801.55,4680.6,0.14,2.5,37,92,17136.04,155,-19937.59,493,30,138.82,104.83,136.71,37.0,,loss>70%win
GBPAUD.c,-1415.0,-273.09,-4330.69,5087.95,1.51,16.4,60,78,23507.1,107,-27837.79,375,53,709.44,507.8,477.43,42.0,,loss>70%win
AUDCAD.c,-364.8,-134.45000000000002,7808.83,3640.9,0.45,11.0,49,94,9308.12,67,-1499.29,325,79,720.77,734.5,163.02,58.0,sweep,meets_all
EURGBP.c,-1693.25,-6.6299999999999955,5057.42,4501.13,2.23,18.0,49,76,33765.8,78,-28708.38,304,47,1434.53,1335.44,2342.94,49.0,sweep,loss>70%win
AUDJPY.c,-1033.2,-556.48,16481.83,12379.48,1.42,24.96,54,65,23695.85,83,-7214.0199999999995,289,41,721.81,1410.0,359.43,44.0,,meets_all
EURAUD.c,-1108.15,-124.37,-568.51,4826.74,1.62,12.23,50,47,19344.28,91,-19912.79,273,28,602.67,447.91,612.79,34.0,,loss>70%win
GBPCAD.c,-654.4,-30.44,-3395.02,1013.96,1.14,20.0,45,48,3278.9700000000003,68,-6673.99,230,26,588.53,467.24,625.54,41.0,,loss>70%win
EURCHF.c,-146.05,-194.70000000000002,1305.61,259.55,0.27,4.0,27,83,2641.2,27,-1335.59,220,21,4284.75,4024.33,9658.79,75.0,,meets_all
CADJPY.c,-773.0,-131.54,8528.3,3649.29,1.41,8.12,35,46,17677.05,64,-9148.75,218,39,417.53,419.75,250.27,42.0,sweep,meets_all
HK50.c,-79.0,-1.92,-1254.11,336.49,0.15,1.0,8,52,1346.18,53,-2600.29,214,32,365.86,545.06,300.91,50.0,,loss>70%win
EURCAD.c,-331.95,-49.7,-3795.05,204.83,0.64,20.0,37,32,1405.33,72,-5200.38,207,34,1019.86,2316.02,1268.19,31.0,sweep,loss>70%win
GBPNZD.c,-626.5,-5.63,989.84,1233.74,1.22,10.0,28,45,9033.73,58,-8043.89,205,38,757.04,317.06,646.64,44.0,sweep,loss>70%win
CHFJPY.c,-259.9,-4.55,171.09,816.34,0.55,6.0,24,45,2009.1100000000001,46,-1838.02,187,55,176.15,108.61,133.68,49.0,sweep,loss>70%win
NZDJPY.c,-638.2,-159.77,-1770.97,1382.56,1.36,8.5,35,45,5206.68,44,-6977.65,179,10,838.18,1491.49,319.82,51.0,,loss>70%win
GBPCHF.c,-299.8,7.700000000000003,-459.39,1412.68,0.73,7.18,37,34,2955.6400000000003,51,-3415.0299999999997,166,32,988.15,143.76,371.21,40.0,sweep,loss>70%win
EURNZD.c,-210.45,-34.45,2453.9,1101.52,0.52,4.0,33,49,3965.53,29,-1511.63,160,27,576.33,404.37,351.84,63.0,sweep,meets_all
CADCHF.c,-436.15000000000003,-246.78,2147.41,1524.05,1.13,9.32,19,38,7315.84,40,-5168.43,154,21,733.23,398.42,1212.68,49.0,,loss>70%win
AUDNZD.c,-705.35,-708.26,-16385.25,525.65,2.03,24.36,23,17,1498.76,54,-17884.010000000002,139,27,2300.25,1598.91,2989.02,24.0,sweep,loss>70%win
EU50.c,-109.0,0.0,-3366.99,830.67,0.33,5.0,2,15,1612.48,51,-4979.47,132,17,12.99,10.69,4.3,23.0,,loss>70%win
NZDCAD.c,-420.0,-27.380000000000003,751.16,1090.74,1.3,14.94,25,22,3429.81,42,-2678.65,129,19,1086.43,640.85,122.55,34.0,,loss>70%win
ETHUSD,-986.5,-64.58,-6532.68,651.0,3.83,24.0,24,17,2348.94,35,-8881.619999999999,103,14,653.24,1126.08,532.94,33.0,,loss>70%win
BRENT.c,-76.9,-9.24,555.52,724.28,0.32,0.85,7,29,5640.900000000001,18,-5085.38,97,4,466.82,331.51,279.04,62.0,,loss>70%win
CHI50.c,-265.1,0.0,-9663.64,900.0,1.15,3.0,3,21,7231.36,25,-16895.0,92,60,99.53,104.46,159.61,46.0,sweep,loss>70%win
AUDCHF.c,-178.5,0.19000000000000006,530.75,848.84,0.85,10.0,19,12,1562.58,31,-1031.83,84,14,381.67,313.85,291.59,28.0,sweep,meets_all
NZDCHF.c,-97.95,0.4000000000000002,327.78,318.78,0.47,6.64,15,20,734.89,23,-407.11,84,12,518.21,386.23,374.16,47.0,,meets_all
UK100.c,-191.35,0.0,-1910.0,658.55,1.08,8.41,8,18,1085.83,18,-2995.83,71,23,37.89,18.02,13.8,50.0,sweep,loss>70%win
AUS200.c,-69.1,21.47,-245.34,769.1,0.67,1.0,5,8,2587.74,9,-2833.08,37,9,1869.47,1804.56,2168.05,47.0,sweep,loss>70%win
ESP35.c,-14.7,0.0,-253.35,84.49,0.23,1.0,3,3,93.81,10,-347.15999999999997,26,6,39.15,20.93,132.81,23.0,sweep,loss>70%win
US2000.c,-26.65,-0.26,-1184.45,8.65,0.53,2.48,5,3,19.55,7,-1204.0,20,1,206.37,526.25,92.15,30.0,,loss>70%win
USDMXN.c,-7.6,0.0,-224.03,10.39,0.19,0.5,4,2,14.43,6,-238.45999999999998,16,2,140.47,0.0,0.0,25.0,,loss>70%win
HKCH50.c,-3.55,0.0,168.23,68.8,0.1,0.3,2,4,168.43,1,-0.2,11,1,174.96,218.56,0.58,80.0,,meets_all
ADAUSD,-43.5,0.0,166.36,168.05,2.9,8.5,3,1,168.05,2,-1.69,6,0,55.66,164.73,2.05,33.0,,meets_all
LTCUSD,-1.0,0.0,-0.65,0.0,0.1,0.1,2,0,0.0,2,-0.6499999999999999,4,0,89.41,0.0,0.0,0.0,,"low_win%,loss>70%win"
USDSEK.c,-0.55,0.0,-22.99,0.0,0.06,0.1,2,0,0.0,2,-22.990000000000002,4,0,0.55,0.0,0.0,0.0,,"low_win%,loss>70%win"
USDNOK.c,-0.05,0.0,-2.14,0.0,0.01,0.01,1,0,0.0,1,-2.14,2,0,0.18,0.0,0.0,0.0,,"low_trades,low_win%,loss>70%win"
IT40.c,-2.0,0.0,-58.79,0.0,0.4,0.4,1,0,0.0,1,-58.79,2,0,0.07,0.0,0.0,0.0,,"low_trades,low_win%,loss>70%win"
